0,92,68
1,89,66
2,87,67
3,87,67
4,86,68
5,83,68
6,84,68
7,83,67
8,83,69
9,83,66
10,83,69
11,83,68
12,85,68
13,84,68
14,86,67
15,85,65
16,85,64
17,87,61
18,88,61
19,86,63
20,87,66
21,88,67
22,88,65
23,90,64
24,92,66
25,91,65
26,92,63
27,91,64
28,94,63
29,94,63
30,96,62
31,95,61
32,94,61
33,95,62
34,96,61
35,95,60
36,96,61
37,95,63
38,97,61
39,94,61
40,92,61
41,91,63
42,92,63
43,91,65
44,86,65
45,82,68
46,79,67
47,77,69
48,75,71
49,74,70
50,71,70
51,66,71
52,66,73
53,64,73
54,62,73
55,65,76
56,64,75
57,63,75
58,60,74
59,59,74
60,59,76
61,60,76
62,60,77
63,60,77
64,62,79
65,62,79
66,62,74
67,63,75
68,63,78
69,64,77
70,65,77
71,64,74
72,65,74
73,65,72
74,68,73
75,68,69
76,68,67
77,70,64
78,69,62
79,71,61
80,71,61
81,73,61
82,76,60
83,77,60
84,82,61
85,85,62
86,89,61
87,92,58
88,97,58
89,97,59
90,101,59
91,108,58
92,109,60
93,110,60
94,112,59
95,111,58
96,110,55
97,109,58
98,108,59
99,108,61
100,108,62
101,105,62
102,102,62
103,98,62
104,96,61
105,93,63
106,89,64
107,88,62
108,84,62
109,82,61
110,80,61
111,81,59
112,80,59
113,79,58
114,76,60
115,77,59
116,76,59
117,78,59
118,77,59
119,78,59
120,78,59
121,76,59
122,75,60
123,76,60
124,74,60
125,75,60
126,75,59
127,76,58
128,76,57
129,74,57
130,75,57
131,74,56
132,73,56
133,74,59
134,74,57
135,74,55
136,75,55
137,73,57
138,74,55
139,77,56
140,78,56
141,80,56
142,80,55
143,80,55
144,79,55
145,79,55
146,81,55
147,81,55
148,82,56
149,83,55
150,83,56
151,82,58
152,80,57
153,81,56
154,82,55
155,81,57
156,81,56
157,84,57
158,81,55
159,82,55
160,80,56
161,82,58
162,82,59
163,81,58
164,82,59
165,85,61
166,84,62
167,82,62
168,84,60
169,83,61
170,83,63
171,83,62
172,82,63
173,84,63
174,85,66
175,86,65
176,85,65
177,86,64
178,84,66
179,84,66
180,85,65
181,87,65
182,87,65
183,87,66
184,88,68
185,89,66
186,91,66
187,92,68
188,93,69
189,93,72
190,94,76
191,97,76
192,99,77
193,100,78
194,102,78
195,104,78
196,103,79
197,106,82
198,108,84
199,109,88
200,111,90
201,112,90
202,115,91
203,114,91
204,117,94
205,121,94
206,122,91
207,120,86
208,121,83
209,122,79
210,118,78
211,116,75
212,111,74
213,105,72
214,101,69
215,94,65
216,91,66
217,85,64
218,79,65
219,75,61
220,73,62
221,68,63
222,65,64
223,62,61
224,60,62
225,60,61
226,61,59
227,59,60
228,60,63
229,60,63
230,61,63
231,65,63
232,70,65
233,71,67
234,73,69
235,76,72
236,78,73
237,82,74
238,85,72
239,87,73
240,87,73
241,89,74
242,92,75
243,91,73
244,91,75
245,91,76
246,92,75
247,91,74
248,93,71
249,91,71
250,90,70
251,89,69
252,87,70
253,88,69
254,86,70
255,86,68
256,85,67
